epoch,C50_val_loss,C50_val_loss_min,C50_val_loss_max,C100_val_loss,C100_val_loss_min,C100_val_loss_max,C150_val_loss,C150_val_loss_min,C150_val_loss_max,C200_val_loss,C200_val_loss_min,C200_val_loss_max
103,,,,,,,0.8707,0.8659,0.8737,0.86392,0.8581,0.8676
104,,,,,,,0.87024,0.8659,0.8739,0.86686,0.863,0.8703
105,,,,,,,0.8719,0.8686,0.8761,0.8678,0.8596,0.8712
106,,,,,,,0.87148,0.868,0.874,0.86638,0.8614,0.8742
107,,,,,,,0.87232,0.8691,0.8772,0.86512,0.857,0.8693
108,,,,,,,0.87266,0.8677,0.8787,0.86686,0.8615,0.8708
109,,,,,,,0.8712,0.8693,0.873,0.86664,0.8617,0.871
110,,,,,,,0.87264,0.8688,0.8747,0.8668,0.8611,0.8707
111,,,,,,,0.87184,0.8668,0.8753,0.86728,0.86,0.8695
112,,,,,,,0.87294,0.864,0.8764,0.86644,0.8615,0.8716
113,,,,,,,0.87192,0.867,0.8753,0.86648,0.8627,0.8681
114,,,,,,,0.87306,0.8676,0.8785,0.86792,0.8636,0.8718
115,,,,,,,0.8731,0.8679,0.8779,0.86808,0.8647,0.8726
116,,,,,,,0.87398,0.8695,0.8771,0.86872,0.8626,0.8713
117,,,,,,,0.87244,0.8656,0.8766,0.86878,0.8621,0.8739
118,,,,,,,0.87414,0.8694,0.8778,0.86866,0.8635,0.8712
119,,,,,,,0.8743,0.8697,0.8797,0.86862,0.8619,0.8733
120,,,,,,,0.87328,0.8691,0.8775,0.86878,0.8648,0.8727
121,,,,,,,0.8746,0.8709,0.8783,0.86898,0.863,0.8728
122,,,,,,,0.87412,0.8694,0.8782,0.86826,0.863,0.8718
123,,,,,,,0.87366,0.8681,0.8761,0.87094,0.8676,0.8735
124,,,,,,,0.87444,0.8698,0.8764,0.86964,0.8607,0.8749
125,,,,,,,0.8745,0.8703,0.8778,0.8696,0.8656,0.8739
126,,,,,,,0.87348,0.8692,0.8767,0.86952,0.8648,0.8724
127,,,,,,,0.87456,0.8713,0.8781,0.8715,0.865,0.8756
