epoch,H50_val_loss,H50_val_loss_min,H50_val_loss_max,H100_val_loss,H100_val_loss_min,H100_val_loss_max,H150_val_loss,H150_val_loss_min,H150_val_loss_max,H200_val_loss,H200_val_loss_min,H200_val_loss_max
134,,,,,,,0.8704,0.8685,0.8717,0.87142,0.8677,0.8732
135,,,,,,,0.87178,0.8672,0.8762,0.86784,0.865,0.8699
136,,,,,,,0.87048,0.8683,0.8744,0.87008,0.8685,0.8742
137,,,,,,,0.87026,0.8662,0.8735,0.86924,0.8647,0.8717
138,,,,,,,0.86968,0.8686,0.8714,0.86862,0.8656,0.8711
139,,,,,,,0.87076,0.8674,0.8746,0.87132,0.8676,0.8739
140,,,,,,,0.87204,0.8657,0.8776,0.8713,0.8666,0.8769
141,,,,,,,0.8706,0.8669,0.875,0.87052,0.8658,0.8747
142,,,,,,,0.87152,0.8676,0.8752,0.8715,0.8687,0.8728
143,,,,,,,0.86942,0.8674,0.8709,0.86966,0.8663,0.8717
144,,,,,,,0.87258,0.8702,0.8781,0.86992,0.8639,0.8747
145,,,,,,,0.87228,0.8674,0.8763,0.8701,0.8658,0.8727
146,,,,,,,0.87338,0.8699,0.8762,0.87048,0.8684,0.8737
147,,,,,,,0.8732,0.8693,0.8788,0.8718,0.8687,0.8756
148,,,,,,,0.87288,0.8681,0.877,0.87144,0.8674,0.8753
149,,,,,,,0.87392,0.8695,0.8778,0.87092,0.8664,0.8765
150,,,,,,,0.87368,0.8704,0.8796,0.87162,0.8687,0.8763
151,,,,,,,,,,0.86966,0.8654,0.8753
152,,,,,,,,,,0.87136,0.8684,0.8769
153,,,,,,,,,,0.8713,0.868,0.8743
154,,,,,,,,,,0.87266,0.8687,0.8765
155,,,,,,,,,,0.87214,0.8685,0.877
156,,,,,,,,,,0.86982,0.8652,0.8742
157,,,,,,,,,,0.87098,0.8666,0.8744
158,,,,,,,,,,0.87104,0.8691,0.8733
159,,,,,,,,,,0.87326,0.8696,0.8793
160,,,,,,,,,,0.8734,0.8697,0.877
161,,,,,,,,,,0.87176,0.8668,0.8776
162,,,,,,,,,,0.87116,0.866,0.8742
163,,,,,,,,,,0.87082,0.8675,0.8754
164,,,,,,,,,,0.87252,0.8698,0.8774
165,,,,,,,,,,0.87268,0.8686,0.8769
166,,,,,,,,,,0.87282,0.8688,0.8773
167,,,,,,,,,,0.87206,0.8695,0.8743
168,,,,,,,,,,0.87372,0.8657,0.8782
169,,,,,,,,,,0.8717,0.8685,0.8735
170,,,,,,,,,,0.87322,0.8705,0.8783
171,,,,,,,,,,0.87292,0.8707,0.8765
172,,,,,,,,,,0.87432,0.8695,0.879
173,,,,,,,,,,0.87284,0.8665,0.8765
174,,,,,,,,,,0.87412,0.87,0.8782
175,,,,,,,,,,0.87384,0.868,0.8787
176,,,,,,,,,,0.87304,0.8688,0.8765
177,,,,,,,,,,0.87524,0.8732,0.8779
178,,,,,,,,,,0.87326,0.8699,0.8772
179,,,,,,,,,,0.87426,0.8703,0.8783
180,,,,,,,,,,0.87376,0.8705,0.8784
181,,,,,,,,,,0.8748,0.8712,0.8774
182,,,,,,,,,,0.87482,0.8709,0.8794
183,,,,,,,,,,0.87332,0.869,0.8788
184,,,,,,,,,,0.87352,0.8704,0.8759
185,,,,,,,,,,0.87496,0.8716,0.8789
186,,,,,,,,,,0.87496,0.8712,0.8796
187,,,,,,,,,,0.87476,0.871,0.8796
188,,,,,,,,,,0.87626,0.872,0.8803
189,,,,,,,,,,0.87696,0.8736,0.8822
190,,,,,,,,,,0.8757,0.8736,0.8785
191,,,,,,,,,,0.87744,0.873,0.8823
192,,,,,,,,,,0.87656,0.8718,0.8814
193,,,,,,,,,,0.8763,0.8713,0.8818
194,,,,,,,,,,0.87772,0.8747,0.8819
195,,,,,,,,,,0.87732,0.8731,0.881
196,,,,,,,,,,0.87674,0.8723,0.8805
197,,,,,,,,,,0.87644,0.8724,0.8793
198,,,,,,,,,,0.8783,0.8728,0.8827
199,,,,,,,,,,0.8778,0.8735,0.8815
200,,,,,,,,,,0.8794,0.8753,0.8832
