epoch,P50_val_loss,P50_val_loss_min,P50_val_loss_max,P100_val_loss,P100_val_loss_min,P100_val_loss_max,P150_val_loss,P150_val_loss_min,P150_val_loss_max,P200_val_loss,P200_val_loss_min,P200_val_loss_max
179,,,,,,,,,,0.87652,0.8737,0.8784
180,,,,,,,,,,0.87574,0.871,0.8783
181,,,,,,,,,,0.87736,0.8747,0.8805
182,,,,,,,,,,0.87666,0.8725,0.8783
183,,,,,,,,,,0.87758,0.8732,0.8796
184,,,,,,,,,,0.87686,0.8736,0.8784
185,,,,,,,,,,0.87744,0.8755,0.8785
186,,,,,,,,,,0.87702,0.8748,0.8784
187,,,,,,,,,,0.87712,0.8749,0.8792
188,,,,,,,,,,0.87764,0.8737,0.8803
189,,,,,,,,,,0.87768,0.8746,0.88
190,,,,,,,,,,0.87822,0.8748,0.8812
191,,,,,,,,,,0.87804,0.8742,0.8806
192,,,,,,,,,,0.8787,0.8759,0.8807
193,,,,,,,,,,0.8786,0.8765,0.8813
194,,,,,,,,,,0.87944,0.8753,0.8821
195,,,,,,,,,,0.8798,0.8767,0.8819
196,,,,,,,,,,0.87974,0.8764,0.882
197,,,,,,,,,,0.87902,0.8744,0.881
198,,,,,,,,,,0.87928,0.8769,0.8805
199,,,,,,,,,,0.87996,0.8763,0.8812
200,,,,,,,,,,0.87968,0.8765,0.8814
